GPSWeek,GPSTime,imu_lon,imu_lat,imu_altitude,headingAngle,v,cmd_steering,cmd_v,imu_gps_state,imu_satellite_num,imu_warning,cmd_v.1,car_v,shiftLevel,均值,方差,标准差,均方根误差
2283.0,551461.08,121.51325363,37.43329779,45.19,53.71,0.0324,12.0,27.0,2.0,5,0.0,10,,,4.389331034482759,0.8879040544795452,0.9422866095193889,1.1228626986080903
2283.0,551461.1,121.51325363,37.43329778,45.19,53.72,0.0432,12.0,27.0,2.0,5,0.0,10,,,4.389331034482759,0.8879040544795452,0.9422866095193889,1.1228626986080903
2283.0,551461.12,121.51325363,37.43329778,45.19,53.72,0.0396,12.0,27.0,2.0,5,0.0,10,,,4.389331034482759,0.8879040544795452,0.9422866095193889,1.1228626986080903
2283.0,551461.19,121.51325363,37.43329777,45.19,53.72,0.0432,12.0,27.0,2.0,5,0.0,10,,,4.389331034482759,0.8879040544795452,0.9422866095193889,1.1228626986080903
2283.0,551461.3,121.51325362,37.43329775,45.19,53.72,0.028800000000000006,12.0,27.0,2.0,5,0.0,10,,,4.389331034482759,0.8879040544795452,0.9422866095193889,1.1228626986080903
2283.0,551461.4,121.51325361,37.43329775,45.2,53.72,0.0396,12.0,27.0,2.0,5,0.0,10,,,4.389331034482759,0.8879040544795452,0.9422866095193889,1.1228626986080903
2283.0,551461.5,121.51325359999998,37.43329773,45.2,53.72,0.0396,12.0,27.0,2.0,5,0.0,10,,,4.389331034482759,0.8879040544795452,0.9422866095193889,1.1228626986080903
2283.0,551461.6,121.51325359,37.43329771,45.2,53.72,0.0324,12.0,27.0,2.0,5,0.0,10,,,4.389331034482759,0.8879040544795452,0.9422866095193889,1.1228626986080903
2283.0,551461.7,121.51325358,37.433297700000004,45.2,53.72,0.0396,12.0,27.0,2.0,5,0.0,10,,,4.389331034482759,0.8879040544795452,0.9422866095193889,1.1228626986080903
2283.0,551461.79,121.51325357,37.43329769,45.2,53.72,0.0432,12.0,27.0,2.0,5,0.0,10,,,4.389331034482759,0.8879040544795452,0.9422866095193889,1.1228626986080903
2283.0,551461.9,121.51325358,37.43329767,45.2,53.76,0.0432,12.0,27.0,2.0,5,0.0,10,,,4.389331034482759,0.8879040544795452,0.9422866095193889,1.1228626986080903
2283.0,551462.0,121.51325355,37.43329766,45.2,53.72,0.0828,12.0,27.0,2.0,5,0.0,10,,,4.389331034482759,0.8879040544795452,0.9422866095193889,1.1228626986080903
2283.0,551462.09,121.51325356,37.43329766,45.2,53.7,0.0504,12.0,27.0,2.0,5,0.0,10,,,4.389331034482759,0.8879040544795452,0.9422866095193889,1.1228626986080903
