坡度,速度指令,实际速度
-34.33542448254294,1.8,0.024399999999999998
0.0,1.8,0.042600000000000006
5.21801712357406,1.8,0.365
2.5598020849048133,1.8,0.3728
5.0634893298550745,1.8,0.3762
4.809117054802731,1.8,0.39620000000000005
4.5313262009174045,1.8,0.4206
2.1881370043503487,1.8,0.43620000000000003
4.535621706226296,1.8,0.4202
2.347258658697137,1.8,0.40659999999999996
2.4596468433938803,1.8,0.388
2.370553184526728,1.8,0.40259999999999996
2.3693774889759,1.8,0.40279999999999994
4.24391203936514,1.8,0.4492
2.045700483565285,1.8,0.4666
2.037845764832924,1.8,0.46840000000000004
2.1145238775041286,1.8,0.4514
2.2186246666745664,1.8,0.4302
4.116089515050596,1.8,0.46319999999999995
2.0687357048519175,1.8,0.4614
2.1024251678492796,1.8,0.454
4.197361395065673,1.8,0.4542
2.057153639035034,1.8,0.4640000000000001
2.0163401175246642,1.8,0.4734
1.9944503257529318,1.8,0.4786
3.9857391307136245,1.8,0.4784
1.952863840701006,1.8,0.4888
1.9331050859866377,1.8,0.49380000000000007
0.0,1.8,0.48579999999999995
1.9969517942215433,1.8,0.47800000000000004
1.982859154067817,1.8,0.4814
1.9464972529910858,1.8,0.4904
0.0,1.8,0.1846
-45.11482104771455,1.8,0.016599999999999997
0.0,1.8,0.0088
