坡度,速度指令,实际速度
-4.487825354984887,29.0,0.12780000000000002
0.0,29.0,0.13104
0.0,29.0,0.16956
2.239035988372744,29.0,0.2559600000000001
0.0,28.0,1.224
0.39640401692390015,24.0,1.4454
0.0,26.0,1.6570799999999999
0.29000660107873133,26.0,1.97568
0.24239326506635897,25.0,2.36376
0.0,25.0,2.70972
0.3957632940287088,29.0,2.89548
0.0,27.0,2.94732
0.0,26.0,2.8864799999999997
0.0,27.0,2.9401200000000003
0.1873075515829241,27.0,3.05892
0.0,26.0,3.1564799999999997
0.0,25.0,2.9055600000000004
0.0,23.0,2.91384
0.0,23.0,3.1834800000000003
0.0,25.0,3.30732
0.0,26.0,3.17952
1.033127144386268,24.0,2.7730800000000007
1.771763677200874,21.0,2.2640400000000005
1.7833939113109654,23.0,2.2492799999999997
2.0207926921660837,26.0,2.2687199999999996
1.97900970994862,25.0,2.3166
2.2862209390723276,22.0,2.25612
2.5620855546619437,23.0,2.2370400000000004
3.0707271398635205,19.0,2.0534399999999997
3.039260212495094,23.0,2.0746800000000003
2.8157705518736247,25.0,2.2392000000000003
2.8203084666862965,24.0,2.2356000000000007
2.650878093362962,27.0,2.16216
3.1563026525957305,27.0,2.17944
2.949526281582705,25.0,2.33208
2.714865375357274,24.0,2.32236
3.331478219353668,27.0,2.2370399999999995
3.0607698701940325,25.0,2.4346799999999997
2.957470092503692,25.0,2.51964
2.9039005542386573,26.0,2.5660800000000004
2.259704902429004,24.0,2.5362
2.849585227407693,26.0,2.4138
2.020436319510695,27.0,2.55276
2.3078861883281,27.0,2.4832799999999997
2.938177213858052,26.0,2.3410800000000003
2.212571320413657,25.0,2.5902000000000003
2.2088854554655257,24.0,2.59452
2.4462024748734406,26.0,2.57724
2.3787114863380703,26.0,2.65032
2.1018041161171706,26.0,2.72664
0.633423395313932,28.0,2.71368
0.8431237564775795,29.0,2.7183599999999997
0.0,29.0,2.8310400000000002
0.848970620479635,29.0,2.69964
1.2402652460715748,28.0,2.7720000000000002
1.2297231225027738,28.0,2.79576
0.879222149067747,28.0,2.60676
0.9104054940112714,28.0,2.5174800000000004
0.6314964902819623,28.0,2.72196
1.2257765460932408,28.0,2.80476
1.2341735701895855,28.0,2.78568
1.0596805387924464,27.0,2.7036000000000002
0.6524667245175758,28.0,2.6344799999999995
1.086002137810343,29.0,2.63808
1.0283207636538603,29.0,2.78604
0.8143274569115874,25.0,2.81448
0.8614935868070078,28.0,2.6604
0.8955488742854898,26.0,2.55924
1.5673421871092055,26.0,2.55924
1.040693701230517,27.0,2.75292
0.8023195694445397,27.0,2.8566
1.0752890569627471,27.0,2.6643600000000003
1.1294724068274415,28.0,2.53656
1.4148543942030505,27.0,2.43
1.3205395558615842,27.0,2.6035200000000005
0.8634800914272018,28.0,2.6542800000000004
1.1344643114467219,26.0,2.5254
1.427973272196882,26.0,2.40768
1.2153854575652996,28.0,2.35728
0.8832477628610357,27.0,2.59488
1.1102462583360815,26.0,2.58048
0.854440168358072,27.0,2.68236
1.8024764121452004,28.0,2.5434
1.138196592108433,29.0,2.5171200000000002
1.1215128719367873,27.0,2.55456
1.0181891008573631,28.0,2.81376
1.0041835417115008,28.0,2.853
0.8206258554481959,28.0,2.7928800000000003
0.8519245693803773,29.0,2.69028
1.1114869124956352,29.0,2.5776000000000003
1.1100913712933256,29.0,2.5808400000000002
1.2519738520567543,29.0,2.74608
1.224204999840397,29.0,2.8083599999999995
1.0449301868849221,28.0,2.7417599999999998
1.0725352993024944,26.0,2.6712000000000002
1.0978388895414508,27.0,2.6096399999999997
1.2524665103914647,29.0,2.745
0.8328652443616953,29.0,2.7518400000000005
1.0393344117717318,29.0,2.75652
0.8611439756309686,29.0,2.66148
0.8591681934151681,29.0,2.6675999999999997
0.4208259494042916,29.0,2.72304
0.8543255006846379,29.0,2.68272
0.6569555469003991,29.0,2.61648
0.8289609154578302,29.0,2.7648
0.5907860555085048,29.0,2.9095199999999997
1.030718350545363,29.0,2.77956
0.8437942810827045,29.0,2.7162
1.144911058269265,29.0,2.5023600000000004
1.0686462409392736,28.0,2.68092
0.9675532384434009,28.0,2.9610000000000003
0.9112656197864325,27.0,3.1438800000000002
1.1183865806146651,28.0,3.07404
1.1364896827174877,28.0,3.02508
1.006597081825465,27.0,2.8461600000000002
1.0512805392081612,27.0,2.7252
1.1391742730678998,27.0,2.5149600000000003
0.8312339796942922,26.0,2.7572400000000004
1.0281878914099178,26.0,2.7864
1.011716336583444,27.0,2.83176
1.261901247882001,27.0,2.7244800000000002
0.8781306153631225,27.0,2.61
1.165026429556362,28.0,2.45916
1.2875961180128235,28.0,2.6701200000000003
1.024217630263011,28.0,2.7972
1.4193612204040864,29.0,2.826
1.0397418256046562,27.0,2.75544
1.0696518044421457,24.0,2.6784000000000003
1.1294724068272806,26.0,2.53656
1.053786521880071,28.0,2.7187200000000002
1.0272587463365754,28.0,2.78892
1.242524735203587,28.0,2.76696
1.2740239527679786,29.0,2.69856
1.0709474560159644,28.0,2.6751599999999995
1.2914273425587481,29.0,2.6622
1.6304883620545083,29.0,2.8115999999999994
1.011716336583444,29.0,2.8317600000000005
0.6350240784769214,29.0,2.70684
0.6572268411976929,29.0,2.6154
1.2156330273904135,29.0,2.82816
0.7902680709889797,29.0,2.90016
0.7886038313611379,29.0,2.9062799999999998
1.1994466351616802,28.0,2.8663200000000004
1.070515223522634,29.0,2.67624
1.3103909332764963,28.0,2.62368
1.6403626161435123,27.0,2.79468
1.5783348920342326,28.0,2.90448
1.5270299680532833,26.0,3.00204
0.9633364116239261,26.0,2.9739600000000004
1.675774564208631,28.0,2.73564
1.3170786983671894,29.0,2.6103600000000005
1.3964383765426165,28.0,2.4620399999999996
1.0767440908888997,29.0,2.66076
1.403446298830118,29.0,2.85804
2.0247783598489266,29.0,2.83032
1.582651594693064,29.0,2.89656
1.0149423983210937,29.0,2.82276
1.0891236361299323,29.0,2.6305199999999997
1.0952700019199777,29.0,2.61576
1.4161134177218255,28.0,2.8324799999999994
1.1313727256619952,26.0,3.0387600000000003
1.0874367924036032,25.0,3.1615200000000003
1.4536257362593616,24.0,3.1536
1.4377025725076558,26.0,3.18852
1.1912167356265964,28.0,2.88612
1.0861503747745234,28.0,2.6377200000000003
0.9314525456911716,27.0,2.4606
1.2490260225990744,28.0,2.75256
0.7932221644474392,28.0,2.88936
1.1512886340690596,29.0,2.9862
1.0166280951610345,28.0,2.81808
1.4781217690385646,28.0,2.71368
1.800437028277612,28.0,2.5462800000000003
1.5881232474881912,28.0,2.5257599999999996
1.4246252460200235,28.0,2.81556
1.1882519782298342,29.0,2.89332
1.4055712808263696,29.0,2.85372
1.2284574557273054,29.0,2.79864
0.8763174030471886,29.0,2.6154
1.6192892391986355,29.0,2.4771600000000005
1.7773115989046289,29.0,2.5794000000000006
1.4164735504330694,29.0,2.83176
1.1471392907527846,29.0,2.9970000000000003
1.5253832838914776,29.0,3.00528
