坡度,速度指令,实际速度
0.7812125059387275,7.0,5.255859375
-0.6685593357599442,7.0,6.712890625
-0.2672465003012885,7.0,6.7890625
1.162277978688446,7.0,6.818359375
0.7793354570943628,7.0,6.861328125
-0.393084921339654,7.0,7.044921875
-0.48769294499192667,7.0,7.048828125
0.4365308257563974,7.0,7.21875
-0.055339426501764453,7.0,6.90234375
1.250246501097332,7.0,6.873046875
-0.17919343343219307,7.0,6.927734375
0.02732945489651377,7.0,6.98828125
0.8378676651019327,7.0,7.1796875
-0.06866906616300197,7.0,6.953125
-0.11014888940520351,7.0,6.935546875
-1.1320686102408586,7.0,6.916015625
-0.6045826531198729,7.0,7.107421875
0.47153356684764164,7.0,7.087890625
-0.02822886522043234,7.0,6.765625
0.04217284906978581,7.0,6.79296875
-0.4165708919624094,7.0,6.876953125
-0.6079235616789527,7.0,7.068359375
0.06832361003773316,7.0,6.98828125
